AZ;Z_I;Z_II;S_I;S_II;ÖR_I;ÖR_II;WPF;Dur
0177/18;7,00;9,00;5,00;5,00;8,00;6,00;8,00;6,85
0178/18;9,00;5,00;8,00;7,00;7,00;5,00;10,00;7,28
0179/18;6,00;11,00;6,00;6,00;2,00;3,00;6,00;5,71
0180/18;1,00;3,00;2,00;4,00;5,00;8,00;3,00;3,71
0181/18;2,00;4,00;3,00;10,00;3,00;5,00;1,00;4,00
0182/18;6,00;14,00;5,00;10,00;9,00;6,00;8,00;8,28
0183/18;11,00;10,00;4,00;7,00;7,00;4,00;4,00;6,71
0184/18;7,00;8,00;8,00;5,00;10,00;4,00;5,00;6,71
0185/18;9,00;6,00;11,00;8,00;5,00;8,00;5,00;7,42
0186/18;10,00;11,00;10,00;10,00;10,00;10,00;12,00;10,42
0187/18;2,00;5,00;6,00;3,00;7,00;5,00;7,00;5,00
0188/18;6,00;7,00;5,00;9,00;6,00;12,00;8,00;7,57
0189/18;4,00;11,00;8,00;8,00;8,00;8,00;9,00;8,00
0190/18;3,00;2,00;2,00;1,00;3,00;4,00;3,00;2,57
0191/18;3,00;4,00;3,00;4,00;14,00;4,00;5,00;5,28
0192/18;7,00;7,00;5,00;9,00;2,00;5,00;7,00;6,00
0193/18;5,00;10,00;9,00;5,00;6,00;7,00;5,00;6,71
0194/18;6,00;9,00;8,00;5,00;3,00;7,00;8,00;6,57
0195/18;8,00;11,00;4,00;10,00;5,00;6,00;2,00;6,57
0196/18;8,00;10,00;6,00;8,00;11,00;5,00;8,00;8,00
0197/18;12,00;12,00;7,00;8,00;14,00;8,00;15,00;10,85
0198/18;6,00;11,00;6,00;3,00;9,00;7,00;7,00;7,00
0199/18;5,00;7,00;9,00;5,00;5,00;6,00;10,00;6,71
0201/18;9,00;12,00;6,00;8,00;3,00;8,00;11,00;8,14
0202/18;10,00;8,00;10,00;10,00;9,00;9,00;9,00;9,28
0203/18;9,00;6,00;5,00;2,00;6,00;6,00;3,00;5,28
0204/18;6,00;8,00;7,00;7,00;9,00;7,00;4,00;6,85
0205/18;6,00;13,00;6,00;9,00;11,00;6,00;4,00;7,85
0206/18;6,00;2,00;7,00;6,00;8,00;6,00;6,00;5,85
0207/18;4,00;3,00;6,00;4,00;9,00;6,00;5,00;5,28
0208/18;5,00;10,00;6,00;8,00;8,00;4,00;6,00;6,71
0209/18;13,00;7,00;10,00;5,00;12,00;7,00;8,00;8,85
0210/18;4,00;8,00;9,00;7,00;8,00;6,00;7,00;7,00
0211/18;6,00;12,00;7,00;7,00;6,00;9,00;8,00;7,85
0212/18;5,00;2,00;4,00;7,00;5,00;7,00;9,00;5,57
0213/18;6,00;5,00;3,00;3,00;5,00;5,00;7,00;4,85
0214/18;5,00;6,00;1,00;10,00;4,00;8,00;2,00;5,14
0215/18;2,00;6,00;2,00;8,00;3,00;3,00;4,00;4,00
0216/18;8,00;6,00;13,00;9,00;11,00;5,00;13,00;9,28
0217/18;8,00;14,00;9,00;12,00;8,00;5,00;9,00;9,28
0218/18;8,00;7,00;6,00;7,00;8,00;2,00;6,00;6,28
0219/18;7,00;7,00;6,00;9,00;10,00;10,00;9,00;8,28
0220/18;3,00;9,00;5,00;8,00;9,00;4,00;5,00;6,14
0221/18;8,00;5,00;4,00;5,00;8,00;13,00;4,00;6,71
0222/18;9,00;14,00;10,00;10,00;8,00;6,00;6,00;9,00
0223/18;6,00;8,00;6,00;11,00;11,00;8,00;12,00;8,85
0224/18;9,00;10,00;7,00;6,00;7,00;6,00;10,00;7,85
0225/18;12,00;9,00;3,00;6,00;7,00;8,00;7,00;7,42
0226/18;4,00;2,00;5,00;6,00;8,00;6,00;9,00;5,71
0227/18;4,00;4,00;4,00;3,00;3,00;2,00;3,00;3,28
0228/18;9,00;8,00;6,00;8,00;9,00;5,00;4,00;7,00
0229/18;2,00;2,00;2,00;6,00;3,00;4,00;2,00;3,00
0230/18;3,00;3,00;4,00;8,00;5,00;11,00;6,00;5,71
0231/18;5,00;6,00;11,00;4,00;10,00;7,00;5,00;6,85
0232/18;3,00;3,00;7,00;8,00;7,00;2,00;4,00;4,85
0233/18;4,00;3,00;7,00;6,00;5,00;5,00;6,00;5,14
0235/18;8,00;7,00;8,00;12,00;7,00;4,00;3,00;7,00
0236/18;7,00;5,00;6,00;12,00;6,00;9,00;14,00;8,42
0237/18;4,00;2,00;4,00;5,00;2,00;5,00;9,00;4,42
0238/18;6,00;6,00;6,00;6,00;5,00;7,00;3,00;5,57
0239/18;7,00;7,00;6,00;6,00;7,00;8,00;12,00;7,57
0240/18;11,00;14,00;11,00;5,00;12,00;7,00;4,50;9,21
0241/18;3,00;9,00;6,00;13,00;8,00;13,00;8,00;8,57
0242/18;8,00;9,00;3,00;6,00;7,00;8,00;5,00;6,57
0243/18;3,00;4,00;6,00;6,00;3,00;2,00;8,00;4,57
0244/18;5,00;3,00;6,00;4,00;2,00;4,00;3,00;3,85
0245/18;7,00;3,00;6,00;4,00;3,00;5,00;8,00;5,14
0246/18;8,50;10,00;4,00;10,00;11,00;4,00;3,00;7,21
0247/18;7,00;3,00;4,00;4,00;4,00;2,00;10,00;4,85
0248/18;7,00;7,00;7,00;6,00;8,00;11,00;3,00;7,00
0249/18;14,00;14,00;14,00;12,00;15,00;8,00;8,00;12,14
0250/18;7,00;11,00;6,00;10,00;4,00;8,00;9,00;7,85
0251/18;6,00;7,00;11,00;8,00;11,00;4,00;6,00;7,57
0252/18;8,00;6,00;5,00;4,00;9,00;5,00;7,00;6,28
0253/18;3,00;6,00;7,00;9,00;12,00;7,00;8,00;7,42
0254/18;4,00;7,00;4,00;8,00;2,00;4,00;9,00;5,42
0255/18;4,00;6,00;7,00;9,00;4,00;8,00;5,00;6,14
0256/18;9,00;3,00;8,00;4,00;6,00;5,00;5,00;5,71
0257/18;4,00;8,00;7,00;9,00;6,00;6,00;4,00;6,28
0258/18;2,00;7,00;2,00;2,00;3,00;4,00;4,00;3,42
