AZ;Z I;Z II;S I;S II;OR I;OR II;WPF;Dur
1154/17;3,00;5,00;7,00;4,00;7,00;3,00;4,00;4,71
1158/17;6,00;5,00;6,00;4,00;5,00;4,00;3,00;4,71
0814/17;2,00;4,00;3,00;7,00;4,00;9,00;3,00;4,57
0897/17;4,00;3,00;4,00;6,00;5,00;5,00;5,00;4,57
0910/17;2,00;6,00;3,00;3,00;9,00;4,00;5,00;4,57
0963/17;6,00;5,00;6,00;3,00;5,00;3,00;4,00;4,57
1076/17;4,00;3,00;6,00;4,00;6,00;2,00;7,00;4,57
1082/17;5,00;6,00;5,00;3,00;4,00;6,00;3,00;4,57
1083/17;3,00;9,00;5,00;4,00;3,00;3,00;5,00;4,57
1096/17;7,00;4,00;4,00;7,00;3,00;3,00;4,00;4,57
1144/17;4,00;5,00;3,00;7,00;3,00;7,00;3,00;4,57
1153/17;3,00;3,00;7,00;4,00;4,00;5,00;6,00;4,57
1129/17;4,00;4,00;3,00;6,00;4,00;2,00;8,50;4,50
0946/17;4,00;6,00;4,00;4,00;5,00;2,00;6,00;4,42
0961/17;3,00;2,00;5,00;8,00;3,00;6,00;4,00;4,42
1110/17;7,00;3,00;6,00;1,00;3,00;7,00;4,00;4,42
1134/17;5,00;3,00;5,00;3,00;7,00;4,00;4,00;4,42
1145/17;4,00;3,00;4,00;6,00;2,00;8,00;4,00;4,42
1171/17;4,00;4,00;9,00;3,00;4,00;5,00;2,00;4,42
0638/17;4,00;5,00;5,00;3,00;5,00;4,00;4,00;4,28
0936/17;5,00;6,00;4,00;2,00;5,00;3,00;5,00;4,28
0966/17;3,00;3,00;7,00;4,00;4,00;5,00;4,00;4,28
1037/17;2,00;6,00;7,00;5,00;3,00;3,00;4,00;4,28
1043/17;7,00;5,00;3,00;5,00;4,00;3,00;3,00;4,28
1092/17;5,00;2,00;4,00;7,00;4,00;3,00;5,00;4,28
1112/17;5,00;6,00;2,00;3,00;5,00;4,00;5,00;4,28
1152/17;8,00;6,00;2,00;4,00;5,00;3,00;2,00;4,28
1141/17;3,50;8,00;4,00;2,00;2,00;4,00;6,00;4,21
0913/17;5,00;3,00;5,00;3,00;3,00;5,00;5,00;4,14
0960/17;8,00;4,00;3,00;2,00;2,00;7,00;3,00;4,14
1147/17;4,00;2,00;8,00;4,00;3,00;4,00;4,00;4,14
1056/17;4,00;4,00;6,00;3,00;5,00;3,00;3,00;4,00
1081/17;5,00;5,00;2,00;3,00;4,00;3,00;6,00;4,00
1090/17;8,00;5,00;3,00;4,00;3,00;2,00;3,00;4,00
1121/17;5,00;2,00;3,00;5,00;6,00;4,00;3,00;4,00
1135/17;4,00;4,00;2,00;5,00;3,00;6,00;4,00;4,00
0922/17;4,00;4,00;2,00;3,00;5,00;3,00;6,00;3,85
1024/17;6,00;4,00;3,00;3,00;4,00;2,00;5,00;3,85
1026/17;3,00;5,00;5,00;2,00;4,00;5,00;3,00;3,85
1032/17;4,00;2,00;3,00;5,00;5,00;4,00;4,00;3,85
1094/17;5,00;2,00;5,00;3,00;3,00;6,00;3,00;3,85
1107/17;5,00;4,00;3,00;2,00;5,00;4,00;4,00;3,85
1126/17;2,00;5,00;5,00;2,00;3,00;6,00;4,00;3,85
1146/17;3,00;3,00;3,00;3,00;5,00;7,00;3,00;3,85
1164/17;5,00;6,00;4,00;3,00;3,00;3,00;3,00;3,85
0145/17;4,00;4,00;4,00;3,00;5,00;3,00;3,00;3,71
0925/17;4,00;3,00;7,00;2,00;4,00;4,00;2,00;3,71
1006/17;4,00;4,00;3,00;4,00;5,00;2,00;4,00;3,71
1069/17;4,00;4,00;3,00;5,00;3,00;4,00;3,00;3,71
1100/17;3,00;3,00;6,00;4,00;3,00;4,00;3,00;3,71
0923/17;2,00;5,00;1,00;3,00;5,00;7,00;2,00;3,57
0988/17;5,00;3,00;3,00;6,00;2,00;2,00;4,00;3,57
1035/17;4,00;3,00;3,00;4,00;6,00;3,00;2,00;3,57
1068/17;5,00;3,00;4,00;3,00;4,00;4,00;2,00;3,57
1080/17;4,00;3,00;6,00;4,00;3,00;2,00;3,00;3,57
1099/17;3,00;4,00;3,00;3,00;6,00;4,00;2,00;3,57
1150/17;1,00;4,00;5,00;3,00;7,00;2,00;3,00;3,57
0948/17;2,00;5,00;3,00;4,00;5,00;2,00;3,00;3,42
0964/17;5,00;4,00;1,00;3,00;2,00;5,00;4,00;3,42
0971/17;5,00;3,00;3,00;3,00;4,00;2,00;4,00;3,42
1022/17;4,00;2,00;3,00;5,00;4,00;4,00;2,00;3,42
1139/17;6,00;2,00;3,00;0,00;8,00;2,00;3,00;3,42
